entidad,frecuencia
¿,2140
Argentina,1686
Bueno,1529
la Argentina,1299
Cristina,1251
Alberto Fernández,1232
Estado,1046
Macri,1025
¿Qué,1018
Cristina Fernández de Kirchner,968
Milei,945
Vamos,915
Así,765
Además,742
Después,736
También,736
Congreso,725
Javier Milei,693
Ayer,690
Mauricio Macri,689
Alberto,663
Sergio Massa,563
Cristina Kirchner,553
Patricia Bullrich,530
Estados Unidos,520
provincia de Buenos Aires,517
Acá,502
Qué,493
Massa,477
Está,472
llegó,464
Néstor Kirchner,433
Senado,428
Máximo Kirchner,426
Claro,419
Quiero,413
Axel Kicillof,389
Brasil,386
Buenos Aires,384
Primero,379
Banco Central,377
La Cámpora,370
¿Quién,368
Venezuela,362
Kirchner,359
Mirá,358
Ustedes,355
Mira,347
¿Cuál,342
Kicillof,342
FMI,338
Menem,335
Cambio,333
Fondo Monetario Internacional,325
PRO,318
Vos,314
Jorge,311
¿A,308
Sí,304
Casa Rosada,302
ministro de Economía,289
Juntos,287
Más,282
Ahí,277
Cámara de Diputados,276
Digo,268
Había,268
Horacio Rodríguez Larreta,263
Frente de Todos,260
China,259
Néstor,258
tenía,257
Corte Suprema,256
España,256
Corte,256
Caputo,252
La Nación,252
Nación,248
Dios,244
Constitución,244
Europa,237
Estoy,237
Alfonsín,236
Córdoba,235
CGT,234
Hola,232
en Estados Unidos,231
Miren,229
Chile,229
¿Cuánto,228
Máximo,224
Clarín,221
La Libertad Avanza,220
Bullrich,218
Olivos,216
¿Cómo,215
Fernández,214
Según,213
Trump,208
Rusia,207
los Estados Unidos,204
Uruguay,202
Obviamente,201
Cuba,199
Esa,193
mirá,191
Cómo,191
Presidente,186
ningún,184
Mañana,183
Cohesión,182
Plaza de Mayo,181
ciudad de,181
Papa,180
Buenos días,178
Aníbal Fernández,178
Coherencia,177
Fondo,177
¿No,175
Santa Fe,170
Juan Grabois,169
Patria,169
Cambios Realizados,169
Ciudad de Buenos Aires,168
Larreta,168
Lula,167
Unión,165
Rosario,165
Santa Cruz,165
Ah,164
Perdón,164
Tenemos,163
La Argentina,162
Van,162
Grabois,162
Bien,161
PJ,160
Daniel Scioli,157
¿Vos,157
Me,156
Nos,156
Todavía,155
Martín Guzmán,153
Francia,153
Dicen,151
Maduro,149
Recién,149
Dale,149
Jujuy,149
Donald Trump,148
Espero,147
Putin,146
generó,146
Moyano,145
México,145
República Argentina,142
Gracias,140
Lázaro Báez,140
Tenés,139
Voy,137
Raúl Alfonsín,136
jamás,135
YPF,135
Ucrania,133
Irán,133
Apellidos,132
Jorge Macri,131
Luis Caputo,130
Cuál,130
María Eugenia Vidal,130
América Latina,128
Él,128
Carlos Menem,128
De la Rúa,127
Cambiemos,127
Bolivia,126
COVID,125
Nombres,124
Santiago Caputo,124
Miami,123
Moreno,123
Mendoza,122
Formosa,122
Mauro,122
Usted,119
Fondo Monetario,118
Ortografía,118
Pablo,117
Insisto,117
Karina Milei,117
empezó,117
Allí,116
¿Sabés,116
Salta,115
Gerardo Morales,115
Casa de Gobierno,114
Elisa Carrió,114
Segundo,113
INDEC,112
PAMI,112
Bolsonaro,111
Italia,111
Corte Suprema de Justicia,111
Ministerio de Economía,111
Le,111
Scioli,110
Jorge Rial,110
Israel,110
La Rioja,109
Luego,107
La Plata,107
Javier,106
¿Está,105
Vidal,105
Evita,105
Francisco,104
Corrientes,104
Esos,104
Mire,104
Nueva York,103
Washington,103
Alemania,102
Lamentablemente,102
Colombia,101
Gobierno Nacional,101
San Martín,101
Consejo de la Magistratura,100
Poder Judicial,100
¿Sabes,100
Andrés,100
La Matanza,99
Podría,99
Wado de Pedro,99
Martín Lousteau,99
Tenía,98
Mar del Plata,97
Che,97
Cafiero,97
¿Cuántos,96
Amado Boudou,96
Malvinas,96
Cámara,95
Poneme,95
Ojo,95
Escuchémoslo,94
Latinoamérica,94
K,93
tenés,93
Milagro Sala,92
Pablo Moyano,92
El Estado,92
quilombo,92
Recuerdo,92
Boca,91
Somos,90
Pichetto,90
Chicos,90
Morales,90
¿Dónde,89
Nisman,89
Paraguay,89
Biden,89
Duhalde,88
eh,88
Neuquén,88
Quieren,88
Puerto Madero,87
América,87
ANSES,87
Tesoro,87
TN,86
Decía,86
Cristina Fernández,86
Nuestro,86
Axel,86
Sergio,86
Habrá,85
Carrió,84
Julio De Vido,84
AFIP,84
Nada,84
Guillermo Francos,84
Coalición Cívica,84
Cristóbal López,83
Ginés González García,82
Hugo Moyano,82
WhatsApp,82
Corrección,82
Santiago Cafiero,82
Entre Ríos,81
Rodríguez Larreta,81
Repito,81
Nicaragua,81
Chubut,80
AFI,79
Agustín Rossi,78
Victoria Villarruel,78
Gabinete,77
Miguel Ángel Pichetto,77
Carlos,77
Sergio Berni,77
Perú,77
Instagram,76
Aquí,76
UCR,76
Habló,75
Anoche,75
Horacio Rosatti,75
Vaca Muerta,75
AMIA,74
negó,74
Saben,74
Habría,73
