entidad,frecuencia
argentina,1736
cristina,1253
estado,1046
macri,1027
milei,954
congreso,725
alberto,664
massa,478
senado,428
brasil,387
kirchner,366
venezuela,362
kicillof,347
menem,339
fmi,338
pro,320
china,267
néstor,258
españa,256
nación,254
caputo,252
constitución,244
europa,238
alfonsín,237
cgt,235
córdoba,235
chile,229
máximo,224
clarín,221
bullrich,220
olivos,216
fernández,214
trump,211
rusia,207
uruguay,202
cuba,199
presidente,186
fondo,177
patria,170
larreta,169
lula,168
rosario,165
grabois,164
pj,160
francia,153
maduro,150
jujuy,149
moyano,148
putin,147
méxico,145
ypf,135
irán,133
covid,133
ucrania,133
cambiemos,127
bolivia,126
miami,123
moreno,123
mendoza,122
formosa,122
salta,120
indec,113
pami,112
bolsonaro,112
scioli,111
israel,111
italia,111
evita,106
francisco,106
javier,106
vidal,105
corrientes,105
washington,103
alemania,102
colombia,101
andrés,100
cafiero,99
malvinas,96
cámara,95
latinoamérica,94
pichetto,91
nisman,91
morales,90
duhalde,90
biden,90
paraguay,89
anses,89
neuquén,88
axel,87
américa,87
tesoro,87
sergio,86
tn,86
afip,85
carrió,84
nicaragua,81
chubut,80
carlos,78
perú,77
gabinete,77
